판단유형,판매채널,정제키,행수,원문예시,파일예시,필요한판단
S2 신규/진짜없음 판단,원스토어(소설),사모님과마사지알바생,1,사모님과 마사지 알바생,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),실화엄마친구랑,1,<실화> 엄마친구랑,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),아내의간통현장,1,아내의 간통현장,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),아이돌공략법으로데뷔합니다,1,아이돌 공략법으로 데뷔합니다,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,광혈사혼무,1,광혈사혼무 [단행본],2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,구룡겁,1,구룡겁,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,금황,1,금황 [단행본],2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,다따먹점혈법,1,다따먹점혈법,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,대상천하,1,대상천하,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,독식하는재벌세,1,독식하는 재벌 3세,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,십교종사,1,십교종사,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,천마겁,1,천마겁(무삭제본),2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,칠기무제,1,칠기무제(무삭제 개정판),2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,태양천자,1,태양천자,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,팔왕예조,1,팔왕예조,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,웹소설 하이북,혈무연,1,혈무연,2026-02__웹소설 하이북__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,조아라(소설),고인물무림에가다,1,"고인물, 무림에 가다",2026-02__조아라(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,조아라(소설),다따먹점혈법,1,다따먹점혈법,2026-02__조아라(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,조아라(소설),독식하는재벌세,1,독식하는 재벌 3세,2026-02__조아라(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,조아라(소설),만포인트로환생하기,1,1422만 포인트로 환생하기,2026-02__조아라(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,조아라(소설),아이돌공략법으로데뷔합니다,1,아이돌 공략법으로 데뷔합니다,2026-02__조아라(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),망한세상에서나혼자각성,1,망한 세상에서 나 혼자 각성,2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),실명작,1,실명 3부작 [완결],2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),아사벼리이지환로맨스소설,1,아사벼리 - 이지환  로맨스소설 [완결],2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),원나잇노썸씽,1,원나잇 노썸씽,2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,구룡겁,1,구룡겁,2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,칠색무,1,칠색무,2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),검은달의전설,1,검은 달의 전설,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),뇌신혈,1,뇌신혈,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),대단히부도덕한섹스,1,대단히 부도덕한 섹스(무삭제판),2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),독수혈랑,1,독수혈랑,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),마황,1,마황,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),묘연만왕,1,묘연만왕,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),무례한남자약은여자,1,무례한 남자 약은 여자,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),살차이,1,7살 차이,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),색녀여사장의유혹,1,색녀 여사장의 유혹,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),섹스공화국,1,섹스 공화국(제4회 아이작가 S문학 공모당선작),2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),십교종사,1,십교종사,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),아름다운날들의고백,1,아름다운 날들의 고백,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),아름북스inapp,1,아름북스 inapp,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),아름북스web,1,아름북스 web,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),아름북스일반합계,1,아름북스 일반 합계,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),지독한사랑미친섹스,1,"지독한 사랑, 미친 섹스 (무삭제판)",2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),층자위여학생농락,1,2층 자위 여학생 농락,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),한아름,1,한아름,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),한아름inapp,1,한아름 inapp,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),한아름web,1,한아름 web,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),한아름성인합계,1,한아름 성인 합계,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),한아름일반합계,1,한아름 일반 합계,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),혈무연,1,혈무연,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
